cm,3rd,15th,Median,85th,97th
91.5,11.3,12.0,13.1,14.2,15.3
92.0,11.4,12.2,13.2,14.4,15.4
92.5,11.5,12.3,13.3,14.5,15.5
93.0,11.6,12.4,13.4,14.6,15.7
93.5,11.7,12.5,13.5,14.7,15.8
94.0,11.8,12.6,13.7,14.9,16.0
94.5,11.9,12.7,13.8,15.0,16.1
95.0,12.0,12.8,13.9,15.1,16.2
95.5,12.1,12.9,14.0,15.3,16.4
96.0,12.2,13.0,14.1,15.4,16.5
96.5,12.3,13.1,14.3,15.5,16.7
97.0,12.4,13.2,14.4,15.7,16.8
97.5,12.5,13.4,14.5,15.8,17.0
98.0,12.6,13.5,14.6,15.9,17.1
98.5,12.7,13.6,14.8,16.1,17.3
99.0,12.8,13.7,14.9,16.2,17.4
99.5,12.9,13.8,15.0,16.4,17.6
100.0,13.0,13.9,15.2,16.5,17.8
100.5,13.2,14.1,15.3,16.7,17.9
101.0,13.3,14.2,15.4,16.8,18.1
101.5,13.4,14.3,15.6,17.0,18.3
102.0,13.5,14.5,15.7,17.2,18.5
102.5,13.6,14.6,15.9,17.3,18.6
103.0,13.8,14.7,16.0,17.5,18.8
103.5,13.9,14.8,16.2,17.7,19.0
104.0,14.0,15.0,16.3,17.8,19.2
104.5,14.1,15.1,16.5,18.0,19.4
105.0,14.2,15.3,16.6,18.2,19.6
105.5,14.4,15.4,16.8,18.4,19.8
106.0,14.5,15.5,16.9,18.5,20.0
cm,3rd,15th,Median,85th,97th
106.5,14.6,15.7,17.1,18.7,20.2
107.0,14.8,15.8,17.3,18.9,20.4
107.5,14.9,16.0,17.4,19.1,20.6
108.0,15.0,16.1,17.6,19.3,20.8
108.5,15.2,16.3,17.8,19.5,21.0
109.0,15.3,16.4,17.9,19.6,21.2
109.5,15.4,16.6,18.1,19.8,21.4
110.0,15.6,16.7,18.3,20.0,21.6
