Time,Narration
07:14,"In babies this can result in Infantile tremor syndrome, also known as ITS."
07:23,It occurs in babies breastfed by vegetarian mothers who also avoid dairy.
07:31,Dairy items include milk and milk products.
07:37,One of the main characteristics of ITS is tremors.
07:42,These tremors are jerky and can be intermittent or continuous.
07:49,"Pale face, thin and scattered dry hair are other characteristics."
07:56,"Dark skin pigmentation is also seen on the knees, elbows and knuckles."
08:04,Such babies are irritable and show little interest in the surroundings.
08:11,They stare blankly without any expression.
08:15,B12 deficiency can delay mental and physical development in children.
08:23,They may have difficulty in learning and paying attention.
08:28,"In adults, there may be poor reflex action"
08:32,and impaired balance and coordination.
08:36,Tingling or prickling sensation in hands or legs can also happen.
08:42,Confusion and seizures are other symptoms.
08:47,Vision and memory also get affected due to deficiency.
08:54,"Hallucinations, lack of concentration and depression can also occur."
09:00,Vitamin B12 deficiency increases the risk of heart diseases too.
09:07,Chest pain and slurred speech may occur.
09:11,I will explain to you how this occurs.
09:17,Vitamin B12 is essential for conversion of homocysteine to methionine.
09:25,Homocysteine and methionine are types of amino acids used to make protein.
09:33,Elevated homocysteine levels can damage the heart.
09:38,"With the help of B12, homocysteine gets converted to methionine."
09:45,"In this way, homocysteine levels in the body gets lowered."
09:52,"Thus, protecting our heart from damage."
09:56,"To avoid deficiency, adequate intake of vitamin B12 is recommended for all ages."
10:06,"For babies of 6 to 12 months, 1.2 microgram per day is recommended."
10:13,1.2 microgram is also recommended for 1 to 6 year old children.
10:22,For children above 7 years and for adolescents it is 2.2 micrograms.
10:31,Adult men and women should also have 2.2 micrograms per day.
10:39,The requirements are higher for pregnant and lactating women.
10:46,2.45 micrograms per day is recommended for pregnant women.
10:53,3.2 micrograms per day is recommended for lactating mothers.
11:00,The required amount of vitamin B12 can be met through diet
11:05,and supplements.
11:08,Vitamin B12 is found in animal based foods.
11:13,"Fish, chicken, meat and eggs are good sources of vitamin B12."
11:22,One egg has about 0.6 microgram vitamin B12.
11:28,Eighty five grams of goat meat has about 2.3 micrograms of vitamin B12.
11:38,Eighty five grams of chicken has about 0.3 micrograms of vitamin B12.
11:47,"Shellfish, liver, kidney, and heart are also excellent sources."
11:54,50 grams of goat liver has about 45 micrograms of vitamin B12.
12:02,50 grams of clams has 49 micrograms.
12:08,Please note that shellfish should not be given to children below 1 year of age.
12:15,Milk and milk products also contain vitamin B12.
12:20,A 250 millilitre glass of milk has about 0.3 microgram of vitamin B12.
12:30,150 grams or a bowl of curd has nearly 0.2 microgram.
12:37,"Apart from food sources, maintaining a healthy gut is also important."
12:44,A healthy gut improves the vitamin B12 absorption in the body.
12:51,Vegetarian foods have none or minimal amounts of vitamin B12.
12:57,"However, it can be enhanced in some ways."
13:02,"For example, by sprouting"
13:05,and fermentation.
13:07,Soaking and roasting is also recommended.
13:12,All this helps in reducing the antinutrients from the food.
13:18,Antinutrients inhibit the absorption of some nutrients in our body.
13:25,Examples of antinutrients are oxalates and phytates.
13:31,Have adequate intake of vitamin B12
13:35,and maintain a healthy gut for a good health.
13:39,"This brings us to the end of this tutorial.Thanks for watching."
